title,year,budget,revenue,vote_average,vote_count,popularity,female_ratio,female_director,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Avatar,2009.0,237000000,2787965087,7.2,11800,150.437577,0.14457831325301204,0,3.0,7.9,1389834.0,162,Action,Adventure,Fantasy
Pirates of the Caribbean: At World's End,2007.0,300000000,961000000,6.9,4500,139.082615,0.14705882352941177,0,,,,,,,
Spectre,2015.0,245000000,880674609,6.3,4466,107.376788,0.1566265060240964,0,1.0,6.8,467291.0,148,Action,Adventure,Thriller
The Dark Knight Rises,2012.0,250000000,1084939099,7.6,9106,112.31295,0.06962025316455696,0,,,,,,,
John Carter,2012.0,260000000,284139100,6.1,2124,43.926995,0.2222222222222222,0,3.0,6.6,286786.0,132,Action,Adventure,Sci-Fi
Spider-Man 3,2007.0,258000000,890871626,5.9,3576,115.699814,0.3916083916083916,0,2.0,6.3,639892.0,139,Action,Adventure,Sci-Fi
Tangled,2010.0,260000000,591794936,7.4,3330,48.681969,0.15384615384615385,0,3.0,7.7,496152.0,100,Adventure,Animation,Comedy
Avengers: Age of Ultron,2015.0,280000000,1405403694,7.3,6767,134.279229,0.1527777777777778,0,3.0,7.3,924400.0,141,Action,Adventure,Sci-Fi
Harry Potter and the Half-Blood Prince,2009.0,250000000,933959197,7.4,5293,98.885637,0.3469387755102041,0,3.0,7.6,597439.0,153,Action,Adventure,Family
Batman v Superman: Dawn of Justice,2016.0,250000000,873260194,5.7,7004,155.790452,0.2631578947368421,0,2.0,6.5,753727.0,151,Action,Adventure,Sci-Fi
Superman Returns,2006.0,270000000,391081192,5.4,1400,57.925623,0.2777777777777778,0,1.0,6.1,291668.0,154,Action,Adventure,Sci-Fi
Quantum of Solace,2008.0,200000000,586090727,6.1,2965,107.928811,0.21875,0,1.0,6.5,471701.0,106,Action,Adventure,Mystery
Pirates of the Caribbean: Dead Man's Chest,2006.0,200000000,1065659812,7.0,5246,145.847379,0.12121212121212122,0,,,,,,,
The Lone Ranger,2013.0,255000000,89289910,5.9,2311,49.046956,0.1,0,,,,,,,
Man of Steel,2013.0,225000000,662845518,6.5,6359,99.398009,0.24242424242424243,0,3.0,7.1,813396.0,143,Action,Adventure,Sci-Fi
The Chronicles of Narnia: Prince Caspian,2008.0,225000000,419651413,6.3,1630,53.978602,0.23809523809523808,0,,,,,,,
The Avengers,2012.0,220000000,1519557910,7.4,11776,144.448633,0.24347826086956523,0,,,,,,,
Pirates of the Caribbean: On Stranger Tides,2011.0,380000000,1045713802,6.4,4948,135.413856,0.08571428571428572,0,1.0,6.6,565859.0,136,Action,Adventure,Fantasy
Men in Black 3,2012.0,225000000,624026776,6.2,4160,52.035179,0.2222222222222222,0,,,,,,,
The Hobbit: The Battle of the Five Armies,2014.0,250000000,956019788,7.1,4760,120.965743,0.11904761904761904,0,,,,,,,
The Amazing Spider-Man,2012.0,215000000,752215857,6.5,6586,89.866276,0.3157894736842105,0,,,,,,,
Robin Hood,2010.0,200000000,310669540,6.2,1398,37.668301,0.14705882352941177,0,3.0,6.6,283827.0,140,Action,Adventure,Drama
The Hobbit: The Desolation of Smaug,2013.0,250000000,958400000,7.6,4524,94.370564,0.125,0,,,,,,,
The Golden Compass,2007.0,180000000,372234864,5.8,1303,42.990906,0.27586206896551724,0,,,,,,,
King Kong,2005.0,207000000,550000000,6.6,2337,61.22601,0.030303030303030304,0,0.0,7.2,448245.0,187,Action,Adventure,Romance
Titanic,1997.0,200000000,1845034188,7.5,7562,100.025899,0.22058823529411764,0,3.0,7.9,1285217.0,194,Drama,Romance,
Captain America: Civil War,2016.0,250000000,1153304495,7.1,7241,198.372395,0.09,0,3.0,7.8,852741.0,147,Action,Sci-Fi,
Battleship,2012.0,209000000,303025485,5.5,2114,64.928382,0.10869565217391304,0,1.0,5.8,257754.0,131,Action,Adventure,Sci-Fi
Jurassic World,2015.0,150000000,1513528810,6.5,8662,418.708552,0.2857142857142857,0,3.0,6.9,681366.0,124,Action,Adventure,Sci-Fi
